DATE,T10YIE
4/14/16,1.56
4/15/16,1.56
4/18/16,1.57
4/19/16,1.6
4/20/16,1.62
4/21/16,1.64
4/22/16,1.64
4/25/16,1.65
4/26/16,1.67
4/27/16,1.68
4/28/16,1.72
4/29/16,1.71
5/2/16,1.68
5/3/16,1.64
5/4/16,1.63
5/5/16,1.63
5/6/16,1.61
5/9/16,1.59
5/10/16,1.62
5/11/16,1.59
5/12/16,1.6
5/13/16,1.58
5/16/16,1.6
5/17/16,1.61
5/18/16,1.61
5/19/16,1.56
5/20/16,1.56
5/23/16,1.54
5/24/16,1.55
5/25/16,1.58
5/26/16,1.58
5/27/16,1.58
5/31/16,1.54
6/1/16,1.54
6/2/16,1.54
6/3/16,1.52
6/6/16,1.54
6/7/16,1.57
6/8/16,1.59
6/9/16,1.56
6/10/16,1.52
6/13/16,1.47
6/14/16,1.45
6/15/16,1.47
6/16/16,1.42
6/17/16,1.42
6/20/16,1.43
6/21/16,1.43
6/22/16,1.44
6/23/16,1.5
6/24/16,1.42
6/27/16,1.34
6/28/16,1.37
6/29/16,1.4
6/30/16,1.4
7/1/16,1.43
7/5/16,1.4
7/6/16,1.43
7/7/16,1.43
7/8/16,1.43
7/11/16,1.42
7/12/16,1.46
7/13/16,1.45
7/14/16,1.45
7/15/16,1.49
7/18/16,1.49
7/19/16,1.44
7/20/16,1.46
7/21/16,1.52
7/22/16,1.51
7/25/16,1.5
7/26/16,1.5
7/27/16,1.49
7/28/16,1.52
7/29/16,1.49
8/1/16,1.46
8/2/16,1.44
8/3/16,1.46
8/4/16,1.47
8/5/16,1.5
8/8/16,1.51
8/9/16,1.49
8/10/16,1.44
8/11/16,1.47
8/12/16,1.44
8/15/16,1.45
8/16/16,1.44
8/17/16,1.47
8/18/16,1.47
8/19/16,1.48
8/22/16,1.47
8/23/16,1.48
8/24/16,1.48
8/25/16,1.49
8/26/16,1.47
8/29/16,1.46
8/30/16,1.46
8/31/16,1.47
9/1/16,1.45
9/2/16,1.47
9/6/16,1.49
9/7/16,1.51
9/8/16,1.52
9/9/16,1.5
9/12/16,1.51
9/13/16,1.49
9/14/16,1.49
9/15/16,1.49
9/16/16,1.51
9/19/16,1.5
9/20/16,1.49
9/21/16,1.51
9/22/16,1.55
9/23/16,1.57
9/26/16,1.54
9/27/16,1.52
9/28/16,1.56
9/29/16,1.54
9/30/16,1.6
10/3/16,1.63
10/4/16,1.62
10/5/16,1.62
10/6/16,1.64
10/7/16,1.63
10/11/16,1.64
10/12/16,1.64
10/13/16,1.63
10/14/16,1.67
10/17/16,1.68
10/18/16,1.66
10/19/16,1.68
10/20/16,1.68
10/21/16,1.67
10/24/16,1.66
10/25/16,1.7
10/26/16,1.71
10/27/16,1.72
10/28/16,1.73
10/31/16,1.73
11/1/16,1.72
11/2/16,1.7
11/3/16,1.68
11/4/16,1.68
11/7/16,1.71
11/8/16,1.73
11/9/16,1.82
11/10/16,1.88
11/14/16,1.83
11/15/16,1.82
11/16/16,1.83
11/17/16,1.87
11/18/16,1.9
11/21/16,1.91
11/22/16,1.9
11/23/16,1.92
11/25/16,1.89
11/28/16,1.85
11/29/16,1.86
11/30/16,1.94
12/1/16,1.97
12/2/16,1.91
12/5/16,1.94
12/6/16,1.95
12/7/16,1.92
12/8/16,1.95
12/9/16,1.96
12/12/16,1.98
12/13/16,1.95
12/14/16,1.94
12/15/16,1.9
12/16/16,1.86
12/19/16,1.86
12/20/16,1.9
12/21/16,1.91
12/22/16,1.95
12/23/16,1.97
12/27/16,1.99
12/28/16,1.95
12/29/16,1.94
12/30/16,1.95
1/3/17,1.98
1/4/17,1.99
1/5/17,1.95
1/6/17,1.96
1/9/17,1.95
1/10/17,1.95
1/11/17,1.99
